номер_опоры;крепление_к;разводка;тип_воздуховода;диаметр/ширина;выстота;расстояние_от_стены_до_оси_воздуховода;насквозь
ОВ-2.39-4;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Прямоугольный;800;;;
ОВ-2.39-5;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Прямоугольный;1000;;;
ОВ-2.42-1;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;100;;;
ОВ-2.42-2;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;125;;;
ОВ-2.42-3;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;140;;;
ОВ-2.42-4;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;150;;;
ОВ-2.42-5;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;160;;;
ОВ-2.42-6;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;180;;;
ОВ-2.42-7;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;200;;;
ОВ-2.42-8;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;225;;;
ОВ-2.42-9;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;250;;;
ОВ-2.42-10;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;280;;;
ОВ-2.42-11;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;300;;;
ОВ-2.42-12;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;315;;;
ОВ-2.42-13;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;355;;;
ОВ-2.42-14;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;400;;;
ОВ-2.45-1;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;450;;;
ОВ-2.45-2;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;500;;;
ОВ-2.45-3;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;560;;;
ОВ-2.45-4;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;600;;;
ОВ-2.45-5;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;630;;;
ОВ-2.45-6;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;710;;;
ОВ-2.45-7;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;800;;;
ОВ-2.45-8;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;900;;;
ОВ-2.45-9;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;1000;;;
ОВ-2.45-10;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;1120;;;
ОВ-2.45-11;Металлоконструкции (прямоуг. труба в обжим);Горизонтальная/потолок;Круглый;1250;;;
ОВ-3.1-1;Кирпич;Горизонтальная/стена;Круглый;100;;400;
ОВ-3.1-2;Кирпич;Горизонтальная/стена;Круглый;125;;400;
ОВ-3.1-3;Кирпич;Горизонтальная/стена;Круглый;140;;400;
ОВ-3.1-4;Кирпич;Горизонтальная/стена;Круглый;150;;550;
ОВ-3.1-5;Кирпич;Горизонтальная/стена;Круглый;160;;550;
ОВ-3.1-6;Кирпич;Горизонтальная/стена;Круглый;180;;550;
ОВ-3.1-7;Кирпич;Горизонтальная/стена;Круглый;200;;550;
ОВ-3.1-8;Кирпич;Горизонтальная/стена;Круглый;225;;550;
ОВ-3.1-9;Кирпич;Горизонтальная/стена;Круглый;250;;550;
ОВ-3.1-10;Кирпич;Горизонтальная/стена;Круглый;280;;550;
ОВ-3.1-11;Кирпич;Горизонтальная/стена;Круглый;300;;550;
ОВ-3.1-12;Кирпич;Горизонтальная/стена;Круглый;315;;550;
ОВ-3.1-13;Кирпич;Горизонтальная/стена;Круглый;355;;550;
ОВ-3.1-14;Кирпич;Горизонтальная/стена;Круглый;400;;550;
ОВ-3.2-1;Кирпич;Горизонтальная/стена;Круглый;450;;550;
ОВ-3.2-2;Кирпич;Горизонтальная/стена;Круглый;500;;550;
ОВ-3.2-3;Кирпич;Горизонтальная/стена;Круглый;560;;550;
ОВ-3.2-4;Кирпич;Горизонтальная/стена;Круглый;600;;550;
ОВ-3.2-5;Кирпич;Горизонтальная/стена;Круглый;630;;550;
ОВ-3.2-6;Кирпич;Горизонтальная/стена;Круглый;710;;550;
ОВ-3.2-7;Кирпич;Горизонтальная/стена;Круглый;800;;600;
ОВ-3.2-8;Кирпич;Горизонтальная/стена;Круглый;900;;650;
ОВ-3.2-9;Кирпич;Горизонтальная/стена;Круглый;1000;;700;
ОВ-3.2-10;Кирпич;Горизонтальная/стена;Круглый;1120;;760;
ОВ-3.2-11;Кирпич;Горизонтальная/стена;Круглый;1250;;825;
ОВ-3.3-1;Кирпич;Горизонтальная/стена;Прямоугольный;200;;500;
ОВ-3.3-2;Кирпич;Горизонтальная/стена;Прямоугольный;400;;500;
ОВ-3.3-3;Кирпич;Горизонтальная/стена;Прямоугольный;600;;500;
